company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
rh,2021,2848.63,1523.1,858.67,466.86,271.81,544.23,801.48,2898.31,921.63,447.03,2898.31
rh,2020,2647.44,1552.43,732.18,362.83,220.38,438.7,596.95,2445.69,982.91,18.65,2445.69
rh,2019,2505.65,1504.81,711.62,289.23,150.64,531.95,682.69,1806.03,918.17,-22.96,1806.03
william_sonoma,2024,7750.65,4447.05,2059.41,1244.19,949.76,1246.37,2719.8,5273.55,1880.32,2127.86,5273.55
william_sonoma,2023,8674.42,4996.68,2179.31,1498.42,1127.9,1456.12,2036.08,4663.02,1636.45,1701.05,4663.02
william_sonoma,2022,8245.94,4613.97,2178.85,1453.12,1126.34,1246.37,2323.89,4625.62,1771.69,1664.21,4625.62
william_sonoma,2021,6783.19,4146.92,1725.57,910.7,680.71,1006.3,2467.08,4661.42,1848.0,1651.18,4661.42
william_sonoma,2020,5898.01,3758.92,1673.22,465.87,356.06,1100.54,1755.63,4054.04,1609.56,1235.86,4054.04
william_sonoma,2019,5671.59,3570.58,1665.06,435.95,333.68,1124.99,1694.34,2812.84,1074.81,1155.71,2812.84
home_depot,2024,152669.0,101709.0,26598.0,21689.0,15143.0,20976.0,29775.0,76530.0,22015.0,1044.0,76530.0
home_depot,2023,157403.0,104625.0,26284.0,24039.0,17105.0,24886.0,32471.0,76445.0,23110.0,1562.0,76445.0
home_depot,2022,151157.0,100325.0,25406.0,23040.0,16433.0,22068.0,29055.0,71876.0,28693.0,-1696.0,71876.0
home_depot,2021,132110.0,87257.0,24447.0,18278.0,12866.0,16627.0,28477.0,70581.0,23166.0,3299.0,70581.0
home_depot,2020,110225.0,72653.0,19740.0,15843.0,11242.0,14531.0,19810.0,51236.0,18375.0,-3116.0,51236.0
home_depot,2019,108203.0,71043.0,19513.0,15530.0,11121.0,13925.0,18529.0,44003.0,16716.0,-1878.0,44003.0
lowes,2024,86377.0,57533.0,15570.0,11557.0,7726.0,16894.0,19071.0,41795.0,15568.0,-15050.0,41795.0
lowes,2023,97059.0,64802.0,20332.0,10159.0,6437.0,18532.0,21442.0,43708.0,19511.0,-14254.0,43708.0
lowes,2022,96250.0,64194.0,18301.0,12093.0,8442.0,17605.0,20060.0,44640.0,19668.0,-4816.0,44640.0
lowes,2021,89597.0,60025.0,18526.0,9647.0,5835.0,16193.0,22326.0,46735.0,18730.0,1437.0,46735.0
lowes,2020,72148.0,49205.0,15367.0,6314.0,4281.0,13179.0,15318.0,39471.0,15182.0,1972.0,39471.0
lowes,2019,71309.0,48401.0,17413.0,4018.0,2314.0,12561.0,14228.0,34508.0,14497.0,3644.0,34508.0
tractor_supply,2024,14555.74,9327.52,3356.26,1478.91,1107.23,2645.85,3263.94,9188.15,2177.08,2149.76,9188.15
tractor_supply,2023,14204.72,9232.51,3194.2,1434.94,1088.71,2709.6,3157.78,8489.99,2376.21,2042.42,8489.99
tractor_supply,2022,12731.1,8253.95,2900.3,1306.7,997.11,2191.19,3250.44,7767.47,2064.84,2002.66,7767.47
tractor_supply,2021,10620.35,6858.8,2478.52,996.93,748.96,1783.27,3258.68,7049.12,1743.8,1923.84,7049.12
tractor_supply,2020,8351.93,5480.16,1932.57,743.22,562.35,1602.78,1787.89,5289.27,1247.6,1567.12,5289.27
tractor_supply,2019,7911.05,5208.52,1823.44,701.74,532.36,1589.54,1794.4,3085.26,938.11,1561.82,3085.26
kroger,2024,150039.0,116675.0,26252.0,3096.0,2169.0,9414.0,12948.0,50505.0,16058.0,11615.0,50505.0
kroger,2023,148258.0,116480.0,23848.0,4126.0,2249.0,9756.0,12670.0,49623.0,17238.0,10042.0,49623.0
kroger,2022,137888.0,107539.0,23203.0,3477.0,1666.0,8353.0,12174.0,49086.0,16323.0,9452.0,49086.0
kroger,2021,132498.0,101597.0,24500.0,2780.0,2588.0,8436.0,12503.0,48662.0,15366.0,9576.0,48662.0
kroger,2020,122286.0,95294.0,21208.0,2251.0,1512.0,8464.0,10890.0,45256.0,14243.0,8602.0,45256.0
kroger,2019,121162.0,94894.0,20305.0,2614.0,3078.0,8123.0,10803.0,38118.0,14274.0,7886.0,38118.0
albertsons,2024,79237.7,57192.0,19932.9,2068.9,1296.0,4945.2,6287.5,26221.1,7457.7,2747.5,26221.1
albertsons,2023,77649.7,55894.1,19596.0,2307.1,1513.5,4782.0,6270.4,26168.2,8428.8,1610.7,26168.2
albertsons,2022,71887.0,51164.6,18300.5,2436.9,1619.6,4500.8,8366.4,28123.0,8348.5,3024.6,28123.0
albertsons,2021,69690.4,49275.9,18835.8,1617.5,850.2,4301.3,6988.0,26598.0,6832.2,1324.3,26598.0
albertsons,2020,62455.1,44860.9,16641.9,1437.1,466.4,4352.5,5731.3,24735.1,5904.3,2278.1,24735.1
walgreens,2023,139081.0,112009.0,34205.0,-6882.0,-3528.0,8257.0,15503.0,96628.0,24535.0,20020.0,96628.0
walgreens,2022,132703.0,104437.0,27295.0,1387.0,4065.0,8353.0,16902.0,90124.0,22583.0,25275.0,90124.0
walgreens,2021,132509.0,104442.0,24586.0,2342.0,2512.0,8159.0,15814.0,81285.0,22054.0,23419.0,81285.0
walgreens,2020,139537.0,111520.0,27045.0,1312.0,424.0,9451.0,18073.0,87174.0,27070.0,20637.0,87174.0
walgreens,2019,136866.0,106790.0,25242.0,4998.0,3962.0,9333.0,18700.0,67598.0,25769.0,23512.0,67598.0
cvs,2024,357776.0,217098.0,39832.0,13743.0,8368.0,18025.0,67858.0,249728.0,79189.0,76461.0,249728.0
cvs,2023,322467.0,196892.0,38212.0,7746.0,4165.0,19090.0,65682.0,228275.0,69736.0,71015.0,228275.0
cvs,2022,292111.0,175803.0,37066.0,13193.0,7898.0,17760.0,60008.0,232999.0,67807.0,75075.0,232999.0
cvs,2021,268706.0,163981.0,35135.0,13911.0,7192.0,18496.0,56369.0,230715.0,62017.0,69389.0,230715.0
cvs,2020,256776.0,158719.0,33541.0,11987.0,6631.0,17516.0,50302.0,222449.0,53303.0,63864.0,222449.0
cvs,2019,193919.0,156447.0,21368.0,4021.0,-596.0,16450.0,45243.0,196456.0,44009.0,58225.0,196456.0
rite_aid,2023,24091.9,19287.96,4902.09,-756.4,-749.94,1900.74,3301.05,7527.36,2727.88,-641.78,7527.36
rite_aid,2022,24568.26,19461.76,5033.88,-542.26,-538.48,1959.39,3449.36,8529.0,2933.09,99.03,8529.0
rite_aid,2021,24043.24,19338.92,4657.19,-120.23,-90.91,1864.89,3595.17,9335.4,2602.95,615.15,9335.4
rite_aid,2020,21928.39,17201.63,4587.34,-81.61,-452.17,1921.6,3700.64,9452.37,2766.46,674.53,9452.37
