company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
lululemon,2022,6256617.0,2648052.0,2225034.0,1333355.0,975322.0,966481.0,2614853.0,4942478.0,1405334.0,2740046.0,4942478.0
lululemon,2021,4401879.0,1937888.0,1609003.0,819986.0,588913.0,647230.0,2124379.0,4185215.0,883178.0,2558566.0,4185215.0
lululemon,2020,3979296.0,1755910.0,1334276.0,889110.0,645596.0,518513.0,1807938.0,3281354.0,620418.0,1952218.0,3281354.0
lululemon,2019,3288319.0,1472032.0,1110451.0,705836.0,483801.0,404842.0,1429282.0,2084711.0,500477.0,1445975.0,2084711.0
boot_barn,2024,1667009.0,1052585.0,416210.0,198214.0,146996.0,599120.0,729649.0,1705592.0,312808.0,943643.0,1705592.0
boot_barn,2023,1657615.0,1047043.0,378785.0,231787.0,170553.0,589494.0,669173.0,1517381.0,374842.0,776450.0,1517381.0
boot_barn,2022,1488256.0,913183.0,316735.0,258338.0,192450.0,474300.0,541831.0,1199855.0,336468.0,599676.0,1199855.0
boot_barn,2021,893491.0,598612.0,208553.0,86326.0,59386.0,275760.0,374456.0,933581.0,221656.0,394891.0,933581.0
boot_barn,2020,845575.0,569084.0,202823.0,73668.0,47949.0,288717.0,384651.0,924711.0,312625.0,321693.0,924711.0
boot_barn,2019,776854.0,525420.0,187112.0,64322.0,39022.0,240734.0,277343.0,636075.0,151943.0,264164.0,636075.0
footlocker,2023,8759000.0,5955000.0,1903000.0,581000.0,341000.0,1643000.0,2521000.0,7907000.0,1610000.0,3293000.0,7907000.0
footlocker,2022,8958000.0,5878000.0,1851000.0,860000.0,892000.0,1266000.0,2363000.0,8135000.0,1735000.0,3243000.0,8135000.0
footlocker,2021,7548000.0,5365000.0,1587000.0,303000.0,323000.0,923000.0,2835000.0,7043000.0,1644000.0,2776000.0,7043000.0
footlocker,2020,8005000.0,5462000.0,1650000.0,649000.0,491000.0,1208000.0,2386000.0,6589000.0,1194000.0,2473000.0,6589000.0
footlocker,2019,7939000.0,5411000.0,1614000.0,699000.0,541000.0,1269000.0,2518000.0,3820000.0,764000.0,2506000.0,3820000.0
nike,2024,51362000.0,28475000.0,16576000.0,6700000.0,5700000.0,7519000.0,25382000.0,38110000.0,10593000.0,14430000.0,38110000.0
nike,2023,51217000.0,28925000.0,16377000.0,6201000.0,5070000.0,8454000.0,25202000.0,37531000.0,9256000.0,14004000.0,37531000.0
nike,2022,46710000.0,25231000.0,14804000.0,6651000.0,6046000.0,8420000.0,28213000.0,40321000.0,10730000.0,15281000.0,40321000.0
nike,2021,44538000.0,24576000.0,13025000.0,6661000.0,5727000.0,6854000.0,26291000.0,37740000.0,9674000.0,12767000.0,37740000.0
nike,2020,37403000.0,21162000.0,13126000.0,2887000.0,2539000.0,7367000.0,20556000.0,31342000.0,8284000.0,8055000.0,31342000.0
nike,2019,39117000.0,21643000.0,12702000.0,4801000.0,4029000.0,5622000.0,16525000.0,23717000.0,7866000.0,9040000.0,23717000.0
af,2024,4280677.0,1587265.0,642877.0,484671.0,335413.0,469466.0,1537265.0,2974233.0,966820.0,1049987.0,2974233.0
af,2020,3623073.0,1472155.0,464615.0,70068.0,44960.0,434326.0,1264749.0,3549665.0,815354.0,1058810.0,3549665.0
af,2019,3590109.0,1430193.0,484863.0,127366.0,78808.0,437879.0,1335950.0,2385593.0,558917.0,1218621.0,2385593.0
american_eagle,2024,5261770.0,3237192.0,1433300.0,222717.0,170038.0,640662.0,1433350.0,3557909.0,891172.0,1736759.0,3557909.0
american_eagle,2023,4989833.0,3244585.0,1269095.0,247047.0,125136.0,585083.0,1100241.0,3420956.0,768948.0,1599163.0,3420956.0
american_eagle,2022,5010785.0,3018995.0,1222000.0,591065.0,419629.0,553458.0,1396924.0,3786643.0,842871.0,1423672.0,3786643.0
american_eagle,2021,3759113.0,2610966.0,977264.0,-271345.0,-209274.0,405445.0,1522643.0,3434806.0,858482.0,1086665.0,3434806.0
american_eagle,2020,4308212.0,2785911.0,1029412.0,233345.0,191257.0,446278.0,1047930.0,3328679.0,751756.0,1247853.0,3328679.0
american_eagle,2019,4035720.0,2548082.0,980610.0,337129.0,261902.0,424404.0,1046253.0,1903378.0,542645.0,1287555.0,1903378.0
urban_outfitters,2024,5153237.0,3447833.0,1339205.0,369795.0,287674.0,550242.0,1282503.0,4111209.0,994205.0,2112540.0,4111209.0
urban_outfitters,2023,4795244.0,3361611.0,1200593.0,226623.0,159699.0,587510.0,1237719.0,3682912.0,890374.0,1792683.0,3682912.0
urban_outfitters,2022,4548763.0,3054813.0,1085384.0,408566.0,310616.0,569699.0,1285747.0,3791347.0,981473.0,1745740.0,3791347.0
urban_outfitters,2021,3449749.0,2572347.0,857934.0,3972.0,1236.0,389618.0,1223332.0,3546345.0,906132.0,1477358.0,3546345.0
urban_outfitters,2020,3983789.0,2729352.0,993990.0,231925.0,168096.0,409534.0,1053396.0,3315633.0,638770.0,1455355.0,3315633.0
urban_outfitters,2019,3950623.0,2603911.0,965399.0,381313.0,298003.0,370507.0,1202756.0,2160515.0,386644.0,1489098.0,2160515.0
