company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Lululemon,2023,2023-01-29,8110518,3618178,2757447,1328408,854800,1447367,3159453,5607038,1492198,3148799,5607038
Boot Barn,2023,2023-04-01,1657615,1047043,378785,231787,170553,589494,669173,1517381,374842,776450,1517381
Nike,2023,2023-05-31,51217000,28925000,16377000,5915000,5070000,8454000,25202000,37531000,9256000,14004000,37531000
American Eagle,2023,2023-01-28,4989833,3244585,1269095,247047,125136,585083,1100241,3420956,768948,1599163,3420956
Urban Outfitters,2023,2023-01-31,4795244,3361611,1200593,226623,159699,587510,1237719,3682912,890374,1792683,3682912
Gap,2023,2023-01-28,15616000,10257000,5428000,-69000,-202000,2389000,4617000,11386000,3256000,2233000,11386000
Levi Strauss,2023,2022-11-27,6168600,2619800,2893200,646500,569100,1416800,2827900,6037800,1981600,1903700,6037800
Dick's Sporting Goods,2023,2023-01-28,12368200,8083640,2805462,1463019,1043138,2830917,4963186,8992196,2641446,2524623,8992196
Academy Sports,2023,2023-01-28,6395073,4182571,1365953,846549,628001,1283517,1686675,4595439,1038716,1628306,4595439
Best Buy,2023,2023-01-28,46298000,36386000,7970000,1795000,1419000,5140000,8802000,15803000,8979000,2795000,15803000
YETI,2023,2022-12-31,1410989,594876,541175,274938,212602,318864,770167,1096364,403713,517823,1096364
Sherwin-Williams,2023,2022-12-31,22148900,12823800,6014500,3310600,2020100,2626500,5907700,22594000,5960700,3102100,22594000
Home Depot,2023,2023-01-29,157403000,104625000,26284000,24039000,17105000,24886000,32471000,76445000,23110000,1562000,76445000
Lowe's,2023,2023-02-03,97059000,64802000,20332000,10159000,6437000,18532000,21442000,43708000,19511000,-14254000,43708000
Tractor Supply,2023,2022-12-31,14204717,9232513,3194199,1434943,1088712,2709597,3157775,8489990,2376212,2042416,8489990
Kroger,2023,2023-01-28,148258000,116480000,23848000,4126000,2244000,9756000,12670000,49623000,17238000,10042000,49623000
Albertsons,2023,2023-02-25,77649700,55894100,19596000,2307100,1513500,4782000,6270400,26168200,8428800,1610700,26168200
Walgreens,2023,2023-08-31,139081000,112009000,34205000,-6882000,-3528000,8257000,15503000,96628000,24535000,28322000,96628000
CVS,2023,2022-12-31,322467000,196892000,38212000,7746000,4165000,19090000,65682000,228275000,69736000,71315000,228275000
Rite Aid,2023,2023-03-04,24091899,19287959,4902087,-1099147,-749936,1900744,3301047,7527362,2727875,-641776,7527362
RH,2023,2023-01-28,3590477,1778492,1089828,722157,528642,801841,2512664,5309289,885973,784661,5309289
Williams-Sonoma,2023,2023-01-29,8674417,4996684,2179311,1498422,1127904,1456123,2036080,4663016,1636451,1701051,4663016
Walmart,2022,2022-01-31,572754000,429000000,117812000,25942000,13673000,56511000,81070000,244860000,87379000,83253000,244860000
Walmart,2021,2021-01-31,559151000,420315000,116288000,22548000,13510000,44949000,90067000,252496000,92645000,80925000,252496000
Target,2022,2022-01-29,106005000,74963000,19752000,8946000,6946000,13902000,21573000,53811000,21747000,12827000,53811000
Target,2021,2021-01-30,93561000,66177000,18615000,6539000,4368000,10653000,20756000,51248000,20125000,14440000,51248000
Dollar General,2022,2022-01-28,34220449,23407443,7592331,3220675,2399232,5614325,6303843,26327371,5979357,6261986,26327371
Dollar General,2021,2021-01-29,33746839,23027977,7164097,3554765,2655050,5247477,6914219,25862624,5710783,6661238,25862624
Dollar Tree,2022,2022-01-29,26321200,18583900,5925900,1811400,1327900,4367300,5609200,21721800,4176600,7718500,21721800
