company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
dicks,2024,12984399,8450664,3204108,1282365,1046519,2848797,4890049,9311752,2752394,2617281,9311752
dillards,2019,6356109,4291520,1691180,207962,170263,1528417,1770532,3431369,933535,1678381,3431369
dillards,2020,6343211,4235978,1691017,133891,111081,1465007,1848082,3430257,930820,1623259,3430257
dillards,2021,4433185,3069063,1211483,-153404,-71654,1087763,1661940,3092515,772877,1441008,3092515
dillards,2022,6624267,3747665,1536554,1088363,862473,1080178,1914651,3245557,966186,1451218,3245557
dillards,2023,6996215,3983598,1674317,1109467,891637,1120208,2071846,3329150,858961,1598638,3329150
dillards,2024,6874420,4031108,1717415,916617,738847,1093999,2208210,3448906,827756,1697068,3448906
dollar_general,2019,25625043,17821173,5687564,2116306,1589472,4097004,4663020,13204038,3015857,6417393,13204038
dollar_general,2020,27753973,19264912,6186757,2302304,1712555,4676848,5177868,22825084,4543560,6702500,22825084
dollar_general,2021,33746839,23027977,7164097,3554765,2655050,5247477,6914219,25862624,5710783,6661238,25862624
dollar_general,2022,34220449,23407443,7592331,3220675,2399232,5614325,6303843,26327371,5979357,6261986,26327371
dollar_general,2023,37844863,26024765,8491796,3328302,2415989,6760733,7581009,29083367,5887768,5541772,29083367
dollar_general,2024,38691609,26972585,9272724,2446300,1661274,6994266,8010724,30795591,6725701,6749119,30795591
dollar_tree,2019,22823300,15875800,7887000,-939500,-1590800,3536000,4293300,13501200,2095700,5642900,13501200
dollar_tree,2020,23610800,16570100,5778500,1262200,827000,3522000,4269400,19574600,3546500,6254800,19574600
dollar_tree,2021,25509300,17721000,5900400,1887900,1341900,3427000,5050800,20696000,3730300,7285300,20696000
dollar_tree,2022,26321200,18583900,5925900,1811400,1327900,4367300,5609200,21721800,4176600,7718500,21721800
dollar_tree,2023,28331700,19396300,6699100,2236300,1615400,5449300,6367100,23022100,4225200,8751500,23022100
dollar_tree,2024,30603800,21272000,10213600,-881800,-998400,5112800,6132700,22023500,4696700,7313100,22023500
five_below,2019,1559563,994478,377901,187184,149645,243636,642257,952264,253105,615094,952264
five_below,2020,1846730,1172764,456682,217284,175056,324028,665713,1958661,351345,759778,1958661
five_below,2021,1962137,1309807,497527,154803,123361,281267,755413,2314770,435670,881886,2314770
five_below,2022,2848354,1817910,650564,379880,278810,455104,904739,2880460,586901,1120284,2880460
five_below,2023,3076308,1980817,750448,345043,261528,527720,1066379,3324911,602560,1361929,3324911
five_below,2024,3559369,2285544,757507,385571,301106,584627,1203542,3872037,715926,1584956,3872037
footlocker,2019,7939000,5411000,1614000,699000,541000,1269000,2518000,3820000,764000,2506000,3820000
footlocker,2020,8005000,5462000,1650000,649000,491000,1208000,2386000,6589000,1194000,2473000,6589000
footlocker,2021,7548000,5365000,1587000,303000,323000,923000,2835000,7043000,1644000,2776000,7043000
footlocker,2022,8958000,5878000,1851000,860000,892000,1266000,2363000,8135000,1735000,3243000,8135000
footlocker,2023,8747000,5955000,1903000,581000,341000,1643000,2521000,7907000,1610000,3293000,7907000
footlocker,2024,8154000,5895000,1852000,142000,-330000,1509000,2225000,6868000,1291000,2890000,6868000
gap,2019,16580000,10258000,4960000,1362000,1003000,2131000,4251000,8049000,2174000,3553000,8049000
gap,2020,16383000,10250000,5559000,574000,351000,2156000,4516000,13679000,3209000,3316000,13679000
gap,2021,13800000,9095000,5567000,-862000,-665000,2451000,6008000,13769000,3884000,2614000,13769000
gap,2022,16670000000,10033000000,5827000000,810000000,256000000,3018000,5165000,12761000,4077000,2722000,12761000
gap,2023,15616000000,10257000000,5428000000,-69000000,-202000000,2389000,4617000,11386000,3256000,2233000,11386000
gap,2024,14889000,9114000,5215000,560000,502000,1995000,4395000,11044000,3096000,2595000,11044000
home_depot,2019,108203000,71043000,19513000,15530000,11121000,13925000,18529000,44003000,16716000,-1878000,44003000
home_depot,2020,110225000,72653000,19740000,15843000,11242000,14531000,19810000,51236000,18375000,-3116000,51236000
home_depot,2021,132110000,87257000,24447000,18278000,12866000,16627000,28477000,70581000,23166000,3299000,70581000
home_depot,2022,151157000,100325000,25406000,23040000,16433000,22068000,29055000,71876000,28693000,-1696000,71876000
home_depot,2023,157403000,104625000,26284000,24039000,17105000,24886000,32471000,76445000,23110000,1562000,76445000
home_depot,2024,152669000,101709000,26598000,21689000,15143000,20976000,29775000,76530000,22015000,1044000,76530000
kohls,2019,20229000,12199000,5601000,1361000,801000,3475000,4835000,12469000,2730000,5527000,12469000
kohls,2020,19974000,12140000,5705000,1099000,691000,3537000,4649000,14555000,2769000,5450000,14555000
kohls,2021,15955000,10360000,5021000,-262000,-163000,2590000,5835000,15337000,3022000,5196000,15337000
kohls,2022,19433000,11437000,5478000,1680000,938000,3067000,5023000,15054000,3286000,4661000,15054000
kohls,2023,18098000,11457000,5587000,246000,-19000,3189000,3736000,14345000,3115000,3763000,14345000
kohls,2024,17476000,10498000,5512000,717000,317000,2880000,3410000,14009000,2612000,3893000,14009000
kroger,2019,121162000,94894000,20305000,2614000,3110000,8123000,10803000,38118000,14274000,7886000,38118000
kroger,2020,122286000,95294000,21208000,2251000,2026000,8464000,10890000,45256000,14243000,8602000,45256000
kroger,2021,132498000,101597000,24500000,2780000,2585000,8436000,12503000,48662000,15366000,9576000,48662000
kroger,2022,137888000,107539000,23203000,3477000,1655000,8353000,12174000,49086000,16323000,9452000,49086000
kroger,2023,148258000,116480000,23848000,4126000,2244000,9756000,12670000,49623000,17238000,10042000,49623000
kroger,2024,150039000,116675000,26252000,3096000,2164000,9414000,12948000,50505000,16058000,11601000,50505000
levi,2019,5575440,2577465,2460915,537060,285244,883773,2288059,3542660,1052199,660113,3542660
levi,2020,5763087,2661714,2534698,566675,394612,884192,2870186,4232418,1167204,1563531,4232418
levi,2021,4452609,2099685,2347628,-85119,-127141,817692,3126241,5641241,1548882,1299475,5641241
levi,2022,5763936,2417225,2652213,686211,553541,897950,2709901,5900069,1869618,1665661,5900069
levi,2023,6168600,2619800,2893200,646500,569100,1416800,2827900,6037800,1981600,1903700,6037800
levi,2024,6179000,2663300,3072200,353300,249600,1290100,2637600,6053600,1787500,2046400,6053600
lowes,2019,71309000,48401000,17413000,4018000,2314000,12561000,14228000,34508000,14497000,3644000,34508000
lowes,2020,72148000,49205000,15367000,6314000,4281000,13179000,15318000,39471000,15182000,1972000,39471000
lowes,2021,89597000,60025000,18526000,9647000,5835000,16193000,22326000,46735000,18730000,1437000,46735000
lowes,2022,96250000,64194000,18301000,12093000,8442000,17605000,20060000,44640000,19668000,-4816000,44640000
lowes,2023,97059000,64802000,20332000,10159000,6437000,18532000,21442000,43708000,19511000,-14254000,43708000
lowes,2024,86377000,57533000,15570000,11557000,7726000,16894000,19071000,41795000,15568000,-15050000,41795000
lululemon,2019,3288319,1472032,1110451,705836,483801,404842,1429282,2084711,500477,1445975,2084711
lululemon,2020,3979296,1755910,1334276,889110,645596,518513,1807938,3281354,620418,1952218,3281354
lululemon,2021,4401879,1937888,1609003,819986,588913,647230,2124379,4185215,883178,2558566,4185215
lululemon,2022,6256617,2648052,2225034,1333355,975322,966481,2614853,4942478,1405334,2740046,4942478
lululemon,2023,8110518,3618178,2757447,1328408,854800,1447367,3159453,5607038,1492198,3148799,5607038
lululemon,2024,9619278,4009873,3397218,2132676,1550190,1323602,4060577,7091941,1631261,4232081,7091941
macys,2019,24971000,15215000,9039000,1738000,1098000,5263000,7445000,19194000,5232000,6436000,19194000
macys,2020,24560000,15171000,8998000,970000,564000,5188000,6810000,21172000,5750000,6377000,21172000
macys,2021,17346000,12286000,6767000,-4475000,-3944000,3774000,6184000,17706000,5357000,2553000,17706000
macys,2022,25292000,14956000,8047000,2350000,1430000,4383000,6758000,17590000,5416000,3621000,17590000
macys,2023,25305000,15306000,8317000,1730000,1177000,4267000,5853000,16866000,4861000,4082000,16866000
macys,2024,23866000,-14143000,-8375000,382000,105000,4361000,6089000,16246000,4430000,4137000,16246000
nike,2019,39117000,21643000,12702000,4801000,4029000,5622000,16525000,23717000,7866000,9040000,23717000
nike,2020,37403000,21162000,13126000,3115000,2539000,7367000,20556000,31342000,8284000,8055000,31342000
nike,2021,44538000,24576000,13025000,6937000,5727000,6854000,26291000,37740000,9674000,12767000,37740000
nike,2022,46710000,25231000,14804000,6651000,6046000,8420000,28213000,40321000,10730000,15281000,40321000
nike,2023,51217000,28925000,16377000,5835000,5070000,8454000,25202000,37531000,9256000,14004000,37531000
nike,2024,51362000,28475000,16576000,6700000,5700000,7519000,25382000,38110000,10593000,14430000,38110000
nordstrom,2019,15480000,10155000,4868000,837000,564000,1978000,3374000,7886000,3381000,873000,7886000
nordstrom,2020,15524000,-9932000,-4808000,784000,496000,1920000,3230000,9737000,3520000,979000,9737000
nordstrom,2021,10715000,7600000,4162000,-1047000,-690000,1863000,3642000,9538000,4120000,305000,9538000
nordstrom,2022,14789000,-9344000,-4953000,492000,178000,2289000,3172000,8869000,3314000,581000,8869000
nordstrom,2023,15530000,10019000,5046000,465000,245000,1941000,3209000,8745000,2990000,739000,8745000
nordstrom,2024,14693000,-9303000,-4855000,251000,134000,1888000,3136000,8444000,3072000,848000,8444000
rh,2019,2505653,1504806,711617,289230,150639,531947,682693,1806034,918172,-22962,1806034
rh,2020,2647437,1552426,732180,362831,220375,438696,596952,2445694,982912,18651,2445694
rh,2021,2848626,1523095,858673,466858,271815,544227,801484,2898313,921632,447026,2898313
rh,2022,3758820,1903409,928230,927181,688546,734289,3091442,5540470,1063758,1170277,5540470
rh,2023,3590477,1778492,1089828,722157,528642,801841,2512664,5309289,885973,784661,5309289
rh,2024,3029126,1640107,1022948,366071,127561,754126,1101902,4143897,872868,-297394,4143897
rite_aid,2019,21639557,16963205,4592375,-589477,-422213,1871941,4101719,7591367,2443135,1186690,7591367
rite_aid,2020,21928393,17201635,4587336,-81612,-452174,1921604,3700641,9452369,2766463,674527,9452369
rite_aid,2021,24043240,19338918,4657185,-120227,-90909,1864890,3595174,9335404,2602946,615154,9335404
rite_aid,2022,24568255,19461760,5033876,-542258,-538478,1959389,3449355,8529003,2933088,99033,8529003
rite_aid,2023,24091899,19287959,4902087,-756403,-749936,1900744,3301047,7527362,2727875,-641776,7527362
ross,2019,14983541,10726277,2216550,2050876,1587457,1750442,3404019,6073691,2009484,3305746,6073691
ross,2020,16039073,11536187,2356704,2164288,1660928,1832339,3432828,9348367,2701934,3359249,9348367
ross,2021,12531565,9838574,2503281,106297,85382,1508.982,6692.491,12717.867,3967.033,3290.64,12717.867
ross,2022,18916244,13708907,2874469,2258540,1722589,2262273,7473176,13640256,4214929,4060050,13640256
ross,2023,18695829,13946230,2759268,1987489,1512041,2023495,6904719,13416463,3636246,4288583,13416463
ross,2024,20376941,14801601,3267677,2471781,1874520,2192220,7398138,14300109,4185796,4871326,14300109
sherwin_williams,2019,17534493,10115931,5033780,1359650,1108746,1815275,4344487,19134279,4297747,3730745,19134279
sherwin_williams,2020,17900800,9864700,5274900,2761200,1541300,1889600,4631700,20496200,4521900,4123300,20496200
sherwin_williams,2021,18361700,9679100,5477900,3204700,2030400,1804100,4591400,20401600,4594400,3610800,20401600
sherwin_williams,2022,19944600,11401900,5572500,1864400,1864400,1927200,5053700,20666700,5719500,2437200,20666700
sherwin_williams,2023,22148900,12823800,6014500,3310600,2020100,2626500,5907700,22594000,5960700,3102100,22594000
sherwin_williams,2024,23051900,12293800,7065400,3692700,2388800,2329800,5512900,22954400,6626900,3715800,22954400
signet_jewelers,2019,6247100,4024100,1985100,-764600,-657400,2386900,2855800,4420100,1033000,1201600,4420100
signet_jewelers,2020,6137100,3904200,1918200,158300,72600,2331700,3154800,6299100,1652600,1222600,6299100
signet_jewelers,2021,5226900,3494400,1587400,-57700,-15200,2032500,3582000,6178900,1998700,1190300,6178900
signet_jewelers,2022,7826000,4702000,2230900,903400,769900,2060400,3730400,6575100,2070700,1564000,6575100
