company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Ulta Beauty,2024,2024-01-31,11207303.0,6826203.0,2694561.0,1686539.0,1291005.0,1742136.0,2836518.0,5707011.0,1658191.0,2279328.0,3427683.0
Ulta Beauty,2023,2023-01-31,10208580.0,6164070.0,2395299.0,1649211.0,1242408.0,1603451.0,2709304.0,5370411.0,1681775.0,1959811.0,3410600.0
Ulta Beauty,2022,2022-01-31,8630889.0,5262335.0,2061545.0,1307009.0,985837.0,1499218.0,2281183.0,4764379.0,1558010.0,1535373.0,3229006.0
Ulta Beauty,2021,2021-01-31,6151953.0,4202794.0,1583017.0,366142.0,175835.0,1168215.0,2514777.0,5089969.0,1343713.0,1999549.0,3090420.0
Bath & Body Works,2024,2024-01-31,7429000.0,4193000.0,1951000.0,1285000.0,878000.0,710000.0,2115000.0,5463000.0,1289000.0,-1627000.0,7089000.0
Bath & Body Works,2023,2023-01-31,7560000.0,4305000.0,1879000.0,1376000.0,800000.0,709000.0,2266000.0,5494000.0,1379000.0,-2206000.0,7699000.0
Bath & Body Works,2022,2022-01-31,7882000.0,4027000.0,1846000.0,2009000.0,1333000.0,709000.0,3009000.0,6026000.0,1290000.0,-1518000.0,7543000.0
Bath & Body Works,2021,2021-01-31,6434000.0,3338000.0,1492000.0,1604000.0,844000.0,572000.0,5579000.0,11571000.0,2826000.0,-662000.0,12232000.0
Victoria's Secret,2024,2024-01-31,6182000.0,3940000.0,1996000.0,246000.0,109000.0,985000.0,1533000.0,4600000.0,1614000.0,417000.0,4162000.0
Victoria's Secret,2023,2023-01-31,6344000.0,4086000.0,1780000.0,478000.0,348000.0,1052000.0,1737000.0,4711000.0,1579000.0,383000.0,4310000.0
Victoria's Secret,2022,2022-01-31,6785000.0,4025000.0,1890000.0,870000.0,646000.0,949000.0,1691000.0,4344000.0,1698000.0,257000.0,4087000.0
